id,name,category,description,ingredients,country,kcal,fat,saturates,carbs,sugars,fibre,protein,salt,special,price
1,Japanese ramen noodle soup,soup,"Ramen is a Japanese noodle soup. It consists of Chinese wheat noodles served in a meat or (occasionally) fish-based broth, often flavored with soy sauce or miso, and uses toppings such as sliced pork, nori (dried seaweed), menma, and scallions. Nearly every region in Japan has its own variation of ramen, such as the tonkotsu (pork bone broth) ramen of Kyushu and the miso ramen of Hokkaido. Mazemen is the name of a ramen dish that is not served in a soup, but rather with a sauce (such as tare), like noodles that are served with a sweet and sour sauce.","chicken, garlica, soy sauce, ginger, ramen noodles, pork, eggs, corn, onions",Japan,626,12g,3g,75g,7g,6g,51g,4.9g,,35
2,Japanese rice/gohan,meal,"Takikomi Gohan is a Japanese rice dish which short-grain rice are cooked with vegetables, mushrooms, seafood or meat.  It’s usually seasoned with Japanese stock (dashi) and soy sauce.","sushi rice, dashi, pickles, nori, sliced spring onions",Japan,259,1g,0g,58g,2g,0g,5g,0.3g,"gluten-free, vegan, egg-free, vegetarian, dairy-free",28
3,Miso Soup,soup,"Miso soup (味噌汁, misoshiru) is a traditional Japanese soup consisting of a dashi stock into which softened miso paste is mixed. In addition, there are many optional ingredients that may be added depending on regional and seasonal recipes, and personal preference. Along with suimono (clear soup), Miso soup is considered to be one of the two basic soup types of Japanese cuisine.","wakame seaweed, dashi, tofu, miso paste, spring onion",Japan,99,4g,0.4g,9g,1g,1g,7g,2.44g,"dairy-free, egg-free, vegan, vegetarian",39
4,Smoked salmon & avocado sushi,meal,"Smoked salmon & avocado sushi. Sushi is a Japanese dish of prepared vinegared rice , usually with some sugar and salt, accompanying a variety of ingredients, such as seafood, often raw, vegetables, and occasionally tropical fruits. Styles of sushi and its presentation vary widely, but the one key ingredient is ""sushi rice"", also referred to as shari, or sumeshi. Sushi is traditionally made with medium-grain white rice, though it can be prepared with brown rice or short-grain rice. It is very often prepared with seafood, such as squid, eel, yellowtail, salmon, tuna or imitation crab meat. Many types of sushi are vegetarian. It is often served with pickled ginger (gari), wasabi, and soy sauce. Daikon radish or pickled daikon (takuan) are popular garnishes for the dish.","sushi rice, vinegar, sugar, avocado, seaweed, smoked salmon, chives, soy sauce",Japan,49,2g,0g,7g,0g,1g,2g,0.24g,,8
5,Beetroot & avocado nori rolls with wasabi dipping sauce,meal,"Beetroot & avocado nori rolls with wasabi dipping sauce. Sushi is a Japanese dish of prepared vinegared rice , usually with some sugar and salt, accompanying a variety of ingredients, such as seafood, often raw, vegetables, and occasionally tropical fruits. Styles of sushi and its presentation vary widely, but the one key ingredient is ""sushi rice"", also referred to as shari, or sumeshi. Sushi is traditionally made with medium-grain white rice, though it can be prepared with brown rice or short-grain rice. It is very often prepared with seafood, such as squid, eel, yellowtail, salmon, tuna or imitation crab meat. Many types of sushi are vegetarian. It is often served with pickled ginger (gari), wasabi, and soy sauce. Daikon radish or pickled daikon (takuan) are popular garnishes for the dish.","beetroot, seaweed, avocado, sesame seeds, wasabi, soy sauce, sesame oil",Japan,32,2g,1g,1g,1g,1g,1g,0.3g,"vegetarian, vegan, egg-free, dairy-free",26
6,Gyoza,meal,"Gyoza, or Japanese pan-fried dumplings, are as ubiquitous as ramen in Japan. You can find these mouthwatering dumplings being served at specialty shops, izakaya, ramen shops, grocery stores or even at festivals.","cornflour, gyoza skins, vegetable oil, spring onions, cabbages, ginger, garlic, chestnuts, soy sauce, oyster sauce, saké, sesame oil, minced pork, soy sauce, rice vinegar, sesame oil",Japan,197,8g,2g,23g,1g,1g,8g,1.4g,,35
7,Yaki udon,meal,Yaki udon is a stir fried Japanese udon noodle dish made with an assortment of vegetables and protein. It’s stir fried with a savory sauce made of soy sauce and mirin. This is different from yakisoba because they are made with different noodles. Yakisoba is also a stir fried Japanese noodles dish but the noodles used are much thinner. But this is not to be confused with soba noodles which are actually made out of buckwheat flour.,"udon noodles, sesame oil, onion, white cabbage, shiitake mushrooms, spring onions, soy sauce, sugar",Japan,486,14g,2g,73g,35g,10g,12g,3.3g,vegetarian,23
8,Onigiri - Japanese Rice Balls,meal,"Onigiri, also known as Japanese rice ball is a great example of how inventive Japanese cuisine can be.  It is also a Japanese comfort food made from steamed rice formed into the typical triangular, ball, or cylinder shapes and usually wrapped with nori (dried seaweed).","seaweed, rice, salt, sesame seeds",Japan,386,1g,1g,87g,1g,1g,7g,0.5g,"vegetarian, vegan, egg-free, dairy-free",11
9,Mochi,sweet,"Mochi is Japanese rice cake made of mochigome, a short-grain glutinous rice*. It’s naturally white, sticky, elastic, and chewy. It tastes like rice without filling or coating, but mochi is all about the texture. There is no other food that has this unique texture similar to mochi.","beans, adzuki, rice flour, matcha, green tea, sugar, cornstarch",Japan,213,0.2g,0g,40g,6.4g,1.1g,2.8g,0.5g,"vegetarian, vegan, egg-free, dairy-free",33
10,Vegan ramen,soup,"Ramen broth can be made many different ways, but to keep mine vegan-friendly I went with vegetable broth infused with ginger, onion, garlic and dried shiitake mushrooms (which you can find at most grocery (and all Asian) stores).","garlic, ginger, miso paste, tahini, shiitake mushrooms, soy sauce, tofu, cornflour, vegetable oil, rice noodles, pak choi, spring onion, carrot, sesame oil, sriracha, chopped coriander, crushed peanuts, nori",Japan,556,19g,3g,69g,9g,9g,22g,3.92,"vegetarian, vegan, egg-free, dairy-free",5
11,Yakisoba - Japanese Stir Fry Noodles,meal,"Yakisoba is a classic Japanese stir fry noodles dish with pork and vegetables, and it’s seasoned with a sweet & savory sauce similar to Worcestershire sauce.","soy sauce, sugar, oil, chicken, noodles, veggies, garlic",Japan,444,12g,3g,65g,7g,9g,30g,0.5g,,20
12,Quiche Lorraine,meal,"Quiche (/ˈkiːʃ/ KEESH) is a French tart consisting of pastry crust filled with savoury custard and pieces of cheese, meat, seafood or vegetables. The best-known variant is quiche Lorraine, which includes lardons or bacon. Quiche can be served hot or cold. It is popular worldwide","olive oil, bacon, eggs, cream, milk, cheese, nutmeg",France,588,41.9g,22.4g,29g,0g,1g,25g,2.45g,,12
13,White chocolate crème brûlée,sweet,"Serve this super-creamy chocolate dessert on its own, or as part of an 'assiete' of mini chocolate puddings","cream, white chocolate, vanilla, egg yolk, sugar",France,451,41g,22g,17g,17g,17g,5g,0.09g,,10
14,Caramel soufflés with caramel sauce,sweet,"Soufflés are always an after-dinner winner, and these saucy caramel treats are no exception","butter, sugar, whipping cream, vanilla, eggs, wheat flour",France,545,35g,21g,6g,54g,1g,4g,0.49g,,12
15,Macarons,sweet,"The macaron, a French sandwich cookie, is an iconic bite-sized treat that many enjoy.","sugar, almonds, eggs, chocolate, butter",France,110,6g,2g,14g,14g,0g,2g,0.02g,,25
16,Ratatouille,meal,"Ratatouille is a French Provençal stewed vegetable dish, originating in Nice, and sometimes referred to as ratatouille niçoise. Recipes and cooking times differ widely, but common ingredients include tomato, garlic, onion, courgette (zucchini), aubergine (eggplant), bell pepper, and some combination of leafy green herbs common to the region.","aubergines, courgettes, peppers, tomatoes, olive oil, basil, onion, garlic, vinegar, sugar",France,261,15g,2g,19g,17g,11g,6g,0.03g,"vegetarian, vegan, egg-free, dairy-free",23
17,Salade niçoise,meal,"Salade niçoise, is a salad that originated in the French city of Nice. It is traditionally made of tomatoes, hard-boiled eggs, Niçoise olives and anchovies or tuna, dressed with olive oil. It has been popular worldwide since the early 20th century, and has been prepared and discussed by many chefs. Delia Smith called it ""one of the best combinations of salad ingredients ever invented"" and Gordon Ramsay said that ""it must be the finest summer salad of all""","potatoes, green beans, eggs, lettuces, black olives, tomatoes, tuna, garlic, anchovy, mustard, vinegar",France,633,42g,7g,32g,9g,9g,34g,2.2g,gluten-free,12
18,Pork cassoulet,meal,No-nonsense hearty meal that needs little or no side dishes - a great family meal ,"pork, onion, garlic, carrot, fennel, vinegar, tomato, rosemary, parsley, beans",France,501,30g,11g,26g,6g,8g,28g,2.1g,,11
19,Coq au vin,meal,"Coq au vin is a French dish of chicken braised with wine, lardons, mushrooms, and optionally garlic. A red Burgundy wine is typically used, though many regions of France make variants using local wines, such as coq au vin jaune (Jura), coq au Riesling (Alsace), coq au pourpre or coq au violet (Beaujolais nouveau), coq au Champagne, etc.","olive oil, bacon, shallots, chicken, garlic, brandy, red wine, tomato, flour",France,420,13.2g,3.2g,7.3g,1.7g,1.3g,46.9g,1.4g,,28
20,Tarte Tatin,sweet,"The tarte Tatin, named after the hotel serving it as its signature dish, is a pastry in which the fruit (usually apples) is caramelised in butter and sugar before the tart is baked. It originated in France but has spread to other countries over the years.","butter, plain flour, apples, sugar, milk",France,444,24g,13g,51g,34g,4g,4g,0.4g,,28
21,Pizza Margherita,pizza,Our best margherita pizza recipe is based on our visits to Italy and years of research! It features tangy pizza sauce & a perfect chewy pizza crust.,"wheat flour, yeast, salt, tomatoes, basil, garlic, mozzarella, parmesan",Italy,431,15g,7g,59g,2g,3g,19g,1.87g,vegetarian,26
22,Vegan pizza Margherita,pizza,Our best margherita pizza recipe is based on our visits to Italy and years of research! It features tangy pizza sauce & a perfect chewy pizza crust.,"wheat flour, dried yeast, caster sugar, olive oil, tomatoes, vegan mozzarella",Italy,688,20g,11g,107g,4g,5g,18g,2g,"vegetarian, vegan, egg-free, dairy-free",22
23,Gluten-free pizza,pizza,A 7-ingredient gluten-free pizza crust that requires 1 hour from start to finish and rivals any pizzeria-style pizza crust.,"gluten-free bread flour, sugar, zanthan gum, tomatoes, mozzarella",Italy,740,33g,12g,90g,9g,4g,18g,2.54g,"gluten-free, vegetarian",15
24,Cheese & bacon pizza,pizza,"You can't miss with salty bacon, bubbling fresh mozzarella and tangy arugula all on top of a fresh-baked crispy crust.","wheat flour, eggs, milk, pepper, bacon, onions, tomatoes, mozzarella",Italy,542,29g,14g,54g,5g,0g,19g,3.6g,,22
25,Tuna pizza,pizza,"We love pizza, of course, but I am a huge fan of tuna pizza. Often I would change toppings; sometimes I would use peppers, and feta or goat cheese and from time to time I make this just like this. Let me tell you, there is nothing like homemade easy tuna pizza.","wheat flour, eggs, milk, pepper, tuna, onions, tomatoes, mozzarella",Italy,322,9g,2g,38g,1g,2g,25g,2.65g,,18
26,Tortellini with pesto & broccoli,meal,A speedy pasta salad with Mediterranean flavours - perfect for packed lunches,"broccoli, tortellini, tomatoes",Italy,573,26g,9g,64g,8g,5g,24g,1.58g,vegetarian,39
27,Strawberry panna cotta,sweet,"I consider this dessert perfect for summer days, it's elegant, and refreshing and you can always change the fruit sauce, from strawberries to other berries, cherries, peaches or apricots. I will always consider this dessert when I will have guests invited for dinner especially because you can make it from the beginning  in individual servings.","gelatine, cream, milk, sugar, vanilla, strawberry, cornflour",Italy,477,37g,23g,32g,31g,1g,3g,0.1g,gluten-free,31
28,Carbonara with chicken,meal,"When you're looking for something comforting and carb-y, nothing fits the bill like a good carbonara.","spaghetti, olive oil, pancetta, chicken, eggs, yeast, butter",Italy,758,24g,11g,93g,3g,5g,40g,1.2g,,9
29,Chicken meatballs spaghetti,meal,"Chicken Meatballs – little golden balls that are juicy on the inside, bursting with savoury flavour, these are BAKED so they hold their nice round shape and frankly, it’s just way easier than pan frying! Spaghetti and meatballs was never so tasty! And PS – just wait until you see how soft these are","spaghetti, chicken, bread, parmesan, tomatoes",Italy,627,14g,4g,77g,13g,7g,44g,0.75g,,7
30,Calzone,meal,"A calzone is an Italian oven-baked turnover made with folded leavened dough. It originated in Naples in the 18th century although, according to the Slow Food foundation, it was also produced in Basilicata around the same time. A typical calzone is made from salted bread dough, baked in an oven and is stuffed with salami, ham or vegetables, mozzarella, ricotta and Parmesan or pecorino cheese, as well as an egg. Different regional variations in or on a calzone can often include other ingredients that are normally associated with pizza toppings. The term usually applies to an oven-baked turnover rather than a fried pastry, though calzoni and panzerotti are often mistaken for each other.","weat flour, passata, tomatoes, ham, mozzarella",Italy,967,25g,9g,146g,24g,9g,34g,6g,,33
31,Spaghetti bolognese,meal,"Everyone needs a great everyday Spaghetti Bolognese recipe, and this is mine! The Bolognese Sauce is rich, thick and has beautiful depth of flavour. It’s perfect for a quick midweek meal though if you have the time to simmer this Meat Sauce for a couple of hours, you’ll take it from seriously delish to OMG this is amazing!!","wheat flour, olive oil, bacon, tomatoes, celery, garlic, rosemery, beef mince, red wine, parmesan",Italy,624,25g,10g,58g,12g,6g,35g,1.6g,,31
32,Summer courgette risotto,meal,This fresh vegan one-pot supper makes the most of the season's fresh produce - plus it's a great way to get kids to eat their veg,"olive oil, garlic, tomatoes, rice, rosemary, courgettes, green peas, basil",Italy,406,5g,1g,82g,9g,7g,14g,0.5g,"vegetarian, vegan, egg-free, dairy-free",19
33,Lasagne,meal,"Lasagne, or the singular lasagna, is also an Italian dish made of stacked layers of this flat pasta alternating with fillings such as ragù (ground meats and tomato sauce) and other vegetables, cheese (which may include ricotta and parmesan), and seasonings and spices such as garlic, oregano and basil.[2] The dish may be topped with melted grated mozzarella cheese. Typically, the cooked pasta is assembled with the other ingredients and then baked in an oven. The resulting lasagne casserole is cut into single-serving square portions.","olive oil, celery, onion, carrot, garlic, tomatoes, beef mince, pork mince, milk, thyme, oregano, red wine",Italy,794,38g,17g,63g,16g,4g,48g,2.74g,,40
34,Tiramisu,sweet,"Tiramisu is a coffee-flavoured Italian dessert. It is made of ladyfingers (savoiardi) dipped in coffee, layered with a whipped mixture of eggs, sugar and mascarpone cheese, flavoured with cocoa. The recipe has been adapted into many varieties of cakes and other desserts. Its origins are often disputed among Italian regions Veneto and Friuli Venezia Giulia.","mascarpone, milk, eggs, marsala, sugar, coffeee, dark chocolate, cocoa",Italy,853,73g,42g,44g,35g,0g,5g,0.25g,,5
35,Ultimate guacamole,meal,"Guacamole is at it’s best when you can recognize everything that goes into it; bits of avocado, onions, garlic, cilantro, lime juice, salt and pepper. If you’re adventurous and like little a little heat, mince up some jalapeños or serranos and mix them in with the rest. I like diced, seeded tomato in mine as well.","onion, tomato, chilli, lime, avocados, olive oil",Mexico,254,24g,5g,4g,2g,5g,2g,0.02g,"vegetarian, vegan, egg-free, dairy-free",10
36,sweetcorn & tomato nachos,meal,"These cheesy nachos are great for nibbling on. The salsa can also be used as a healthy dip, served with vegetable sticks","avocado, sweetcorn, tomato, tortilla chips, cheddar",Mexico,301,18g,4g,29g,6g,4g,8g,1.21g,vegetarian,13
37,Chicken quesadillas,meal,This chicken quesadilla recipe has an impressive look and taste with little preparation. The leftover chicken gets Mexican flair from cumin in this fun main dish.,"salsa, tortillas, kidney beans, onions, chicken",Mexico,533,29g,12g,44g,7g,6g,27g,3.18g,,9
38,"Sweet potato, peanut butter & chilli quesadillas",meal,"Crisp tortillas, soft smoky roasted veg and crunchy nuts give this simple vegan meal lots of texture. An easy iron rich supper that's full of flavour","sweet potatoe, paprika, avocado, lime, peanut butter, tortillas, sriracha chilli sauce",Mexico,947,51g,10g,96g,30g,18g,17g,1.7g,"vegetarian, vegan, egg-free, dairy-free",28
39,Chicken enchiladas,meal,"Chicken Enchiladas made from scratch – juicy, cheesy and full of flavour! The foundation of this recipe is a double duty Enchilada Spice Mix that flavours the homemade Enchilada Sauce and also seasons the chicken filling.","olive oil, onions, peppers, red chilli, garlic, chicken, beans, sweetcorn, tomatoes, tortillas, sourc cream, cheddar",Mexico,490,21g,9g,44g,10g,2g,35g,2.7g,,35
40,Chicken burrito,meal,"Don’t you hate it when the filling of your Chicken Burrito falls out and you end up with a chaotic mess on your hands? This one won’t! Juicy, cheesy, flavour loaded chicken burrito filling keeps everything together as you munch your way through.","oil, onions, mixed vegetables, chicken, rice, kidney beans, wraps, avocado, cheddar, egg, sour cream",Mexico,878,28g,10g,108g,13g,14g,40g,2.5g,,25
41,Vegan burritos,meal,"A vegan burrito that is filling, hearty, flavorful and every kind of delicious! Stuffed with black beans and corn, rice, vegan sour cream & guacamole.","tortilla, spinach, avocado, garlic, tomatoes, black beans, rice",Mexico,513,16g,3g,71g,7g,9g,16g,1.7g,"vegetarian, vegan, egg-free, dairy-free",13
42,Fish tacos,meal,Our all-time favorite Fish Tacos recipe! These are loaded with fresh ingredients and perfectly seasoned plump fish. Don’t skip the best fish taco sauce – a garlic lime crema that you will want it on all your tacos!,"cipotle, mayonnaise, tortilla, cabbage, onion, fish goujons",Mexico,312,15g,2g,34g,5g,3g,13g,1.2g,,12
43,Spicy black bean tacos,meal,"These vegetarian bean tacos, lightly spiced with cumin and smoked paprika, are topped with fresh guacamole and a pomegranate salsa ","garlic, black beans, vinegar, honey, paprika, cumin, green chilli, tortillas",Mexico,640,24g,5g,74g,12g,18g,21g,2.7g,"vegetarian, vegan, egg-free, dairy-free",40
44,Chilli Con Carne,meal,"Chili con carne (also spelled chilli con carne or chile con carne and shortened to chili, meaning 'chili with meat', is a spicy stew containing chili peppers (sometimes in the form of chili powder), meat (usually beef), and often tomatoes and beans. Other seasonings may include garlic, onions, and cumin. The dish originated in northern Mexico or southern Texas.","onion, red pepper, garlic, oil, chilli, paprika, cumin, minced beef, tomatoes, red kidney beans, rice",Mexico,387,17g,6g,25g,1g,6g,36g,2.32g,,34
45,Posole,soup,"Traditional Mexican pozole (posole) is a rich, brothy soup made with pork, hominy, and red chiles. Pile your bowl with toppings like shredded cabbage, radishes, cilantro, lime, and avocado!","onion, flour, chilli, tomato, cumin, garlic, salt, chicken broth, green chiles, shredded pork, lime, cilantro",Mexico,177,17g,7g,7g,7g,7g,12g,0.5g,,28